metoda,estymator,klasyfikator,ilość cech,f1,dokładność,precyzja,recall,czas uczenia
Sekwencyjne przeszukiwanie w przód,RandomForestRegressor(n_estimators=250),LogisticRegression(),70,0.0,0.46153846153846156,0.72,0.46153846153846156,0.46153846153846156

Sekwencyjne przeszukiwanie w przód,LogisticRegression(),KNeighborsClassifier(n_neighbors=1),70,0.0,0.5185185185185186,0.74,0.5,0.5384615384615384

Sekwencyjne przeszukiwanie w przód,LogisticRegression(),KNeighborsClassifier(n_neighbors=3),70,0.0,0.5517241379310345,0.74,0.5,0.6153846153846154

Sekwencyjne przeszukiwanie w przód,LogisticRegression(),RandomForestRegressor(n_estimators=250),70,0.015621662139892578,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w przód,LogisticRegression(),LogisticRegression(),70,0.0,0.46153846153846156,0.72,0.46153846153846156,0.46153846153846156

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=1),KNeighborsClassifier(n_neighbors=1),70,0.0,0.5185185185185186,0.74,0.5,0.5384615384615384

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=1),KNeighborsClassifier(n_neighbors=3),70,0.0,0.5517241379310345,0.74,0.5,0.6153846153846154

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=1),RandomForestRegressor(n_estimators=250),70,0.01562190055847168,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=1),LogisticRegression(),70,0.0,0.46153846153846156,0.72,0.46153846153846156,0.46153846153846156

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=3),KNeighborsClassifier(n_neighbors=1),70,0.0,0.5185185185185186,0.74,0.5,0.5384615384615384

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=3),KNeighborsClassifier(n_neighbors=3),70,0.0,0.5517241379310345,0.74,0.5,0.6153846153846154

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=3),RandomForestRegressor(n_estimators=250),70,0.015621662139892578,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=3),LogisticRegression(),70,0.0,0.46153846153846156,0.72,0.46153846153846156,0.46153846153846156

Sekwencyjne przeszukiwanie w tył,RandomForestRegressor(n_estimators=250),KNeighborsClassifier(n_neighbors=1),70,0.0,0.5185185185185186,0.74,0.5,0.5384615384615384

Sekwencyjne przeszukiwanie w tył,RandomForestRegressor(n_estimators=250),KNeighborsClassifier(n_neighbors=3),70,0.0,0.5517241379310345,0.74,0.5,0.6153846153846154

